document,program,safe,yucca,problem,sci,storage,trans,Year,Congress
CST.1978.solon.txt,0.029538526,0.113423736,0.046462735,0.053085252,0.017765164,0.072216966,0.667507621,1978,95
CST.1978.silsbee.txt,0.030999742,0.21002325,0.025574787,0.072591062,0.352880393,0.247997933,0.059932834,1978,95
CST.1978.rhodes.txt,0.033199195,0.314889336,0.037894031,0.16934943,0.235077129,0.131790745,0.077800134,1978,95
CST.1978.blomeke.txt,0.036539368,0.533239038,0.028288543,0.033239038,0.115747289,0.206506365,0.046440358,1978,95
CST.1978.mayer.txt,0.040096407,0.125985977,0.040096407,0.069237511,0.070771253,0.064636284,0.589176161,1978,95
CST.1978.fersht,0.042100284,0.301482182,0.044307789,0.086250394,0.082939136,0.419583728,0.023336487,1978,95
CST.1978.rhode.txt,0.042588867,0.32193159,0.037894031,0.178739101,0.235077129,0.124748491,0.059020791,1978,95
CST.1978.cordaro.txt,0.042779079,0.049336456,0.031850117,0.054800937,0.079937549,0.118188915,0.623106948,1978,95
CST.1978.weiss.txt,0.04488494,0.126224653,0.054454318,0.113465482,0.041695147,0.060833903,0.558441558,1978,95
CST.1978.roy.txt,0.045467879,0.117336462,0.111176298,0.199471986,0.384276914,0.059841596,0.082428865,1978,95
CST.1978.edwards.txt,0.045837046,0.186516187,0.02989803,0.111672112,0.026433026,0.15948916,0.44015444,1978,95
CST.1978.colby.txt,0.048776455,0.277943122,0.074239418,0.040674603,0.166832011,0.35896164,0.032572751,1978,95
CST.1978.santman.txt,0.050750866,0.21193685,0.02703119,0.011397767,0.063688872,0.094955718,0.540238737,1978,95
CST.1978.dix.txt,0.057081479,0.44161424,0.066748504,0.072119073,0.14086236,0.18812337,0.033450974,1978,95
CST.1978.thurmond.txt,0.062150221,0.140500736,0.037407953,0.198232695,0.035346097,0.460088365,0.066273932,1978,95
CST.1978.tamplin.txt,0.105208871,0.173800928,0.043837029,0.105208871,0.238782878,0.271273853,0.061887571,1978,95
CST.1978.cagnetta.txt,0.117311508,0.048735119,0.08953373,0.017485119,0.056547619,0.634672619,0.035714286,1978,95
CST.1978.wolfe.txt,0.136889693,0.153345389,0.13562387,0.166003617,0.082459313,0.286256781,0.039421338,1978,95
